123445,BIC,100.0,500.0
123445,PDC,300.0,800.0
123446,MI,H,500.0,600.0
123447,BIC,100.0,500.0
123447,PDC,300.0,800.0
123449,PDC,500.0,1200.0
123449,FIRE,500.0,1200.0
123450,COC,400.0,700.0
123450,BIC,200.0,600.0
223445,BIC,100.0,500.0
223445,PDC,300.0,800.0
323445,MI,500.0,600.0
423445,COC,400.0,700.0
423445,BIC,200.0,600.0
523445,PDC,500.0,1500.0
523445,FIRE,500.0,1100.0
623445,BIC,100.0,500.0
623445,PDC,300.0,800.0
723445,COC,400.0,700.0
723445,CC,200.0,600.0
723445,BIC,200.0,600.0
823445,PDC,500.0,1500.0
823445,FIRE,500.0,1100.0
13445,MI,500.0,1200.0
143443,COC,400.0,700.0
143443,CC,200.0,600.0
143443,BIC,200.0,600.0
153442,COC,400.0,700.0
153442,CC,200.0,600.0
153442,BIC,200.0,600.0
163445,BIC,100.0,500.0
163445,PDC,300.0,800.0
173442,COC,400.0,700.0
173442,BIC,200.0,600.0
183445,COC,400.0,700.0
183445,BIC,200.0,600.0
193443,PDC,500.0,1500.0
193443,FIRE,500.0,1100.0
563445,COC,400.0,700.0
563445,CC,200.0,600.0
563445,BIC,200.0,600.0
333445,COC,400.0,700.0
333445,BIC,200.0,600.0
